	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
194602	Sugary snacks	Biscuits and cakes			63.8	30.4	61.70270270270271					3.8
194604	Sugary snacks	Biscuits and cakes	74.54545454545455	e	63.6	25.4	57.56756756756757	41.2	14.7	0.114173228346457		4.9
194622	Sugary snacks	Biscuits and cakes	72.72727272727272	e	63.3	26.0	58.0	39.6	15.0	0.12992125984252		4.9
194630	Cereals and potatoes	Bread	45.45454545454545	c			46.62162162162162	7.1	3.3	0.464566929133858	3.3	11.0
194632	Sugary snacks	Sweets	63.63636363636363	e	69.0	10.0	43.86486486486487	59.7	6.06	0.0433070866141732	0.0	5.2
194635	Sugary snacks	Chocolate products	67.27272727272728	e	76.9	13.8	50.10810810810811	58.7	7.4	0.0866141732283465	0.0	2.2
194658	Sugary snacks	Sweets	54.54545454545455	d	82.0	2.0	41.72972972972973	64.0	1.2	0.015748031496063		2.3
194672			52.72727272727273	d			39.86486486486487	64.4	0.2	0.0826771653543307	0.0	4.3
194700	Sugary snacks	Sweets	52.72727272727273	d	95.0	0.1	43.18918918918919	59.0	0.0	0.0039370078740157	0.0	0.0
194727	Beverages	Non sugared beverages	29.09090909090909	b	0.0	0.0	0.0945945945945946	0.0	0.0	0.0035433070866141		0.0
194734	Sugary snacks	Biscuits and cakes	63.63636363636363	e	51.0	32.9	60.62162162162163	39.9	18.1	0.137795275590551	3.7	7.6
194803			30.90909090909091	b			15.351351351351353	0.0	3.9	0.511811023622047	2.3	6.8
194848	Beverages	Fruit juices	23.636363636363637	b	5.9	0.2	3.2432432432432434	5.9	0.0	0.0		0.8
194849	Beverages	Fruit juices	32.72727272727273	c	9.4	0.0	5.027027027027027	8.7	0.0	0.0		0.7
194855	Beverages	Fruit juices	30.90909090909091	c	8.7	0.16	4.621621621621622	8.7	0.0	0.0	0.0	1.0
194859			34.54545454545455	c	10.2	0.0	5.216216216216217	9.7	0.0	0.0	0.0	0.0
194861	Beverages	Fruit juices	30.90909090909091	c	8.9	0.0	4.756756756756757	8.2	0.0	0.0		0.7
194866	Beverages	Non sugared beverages	41.81818181818182	d	8.1	0.0	4.162162162162162	7.6	0.0	0.0	0.0	0.4
194884	Beverages	Fruit juices	32.72727272727273	c	9.4	0.0	5.027027027027027	8.7	0.0	0.0	0.0	0.7
194899			34.54545454545455	c	10.2	0.0	5.081081081081082	9.7	0.0	0.0		0.0
194908	Milk and dairy products	Cheese	47.27272727272727	d	0.0	28.0	41.270270270270274	0.0	19.0	0.196850393700787		29.0
194915	Milk and dairy products	Cheese	47.27272727272727	d	0.5	29.0	41.40540540540541	0.5	19.0	0.196850393700787	0.0	27.0
194918			49.09090909090909	d	1.0	24.0	36.86486486486487	1.0	16.0	0.35		27.0
194947			56.36363636363636	d			39.02702702702703	0.5	17.0	0.7	0.0	24.0
